Filename	Entry Number	File size	File offset
ADSET.DLL	0	19968	111140
AUTORUN.INF	1	275	112772
AVI\HYPER.AVI	0	12767084	7309
AVI\I76.AVI	1	9783450	13543
AVI\TIME.AVI	2	26254026	18321
BUTTON.WAV	3	59436	112808
CFGS\MW2.ADV	0	2318	49
CFGS\MW2.B50	1	2418	51
CFGS\MW2.M50	2	4938	53
CFGS\MW2.PHX	3	1674	56
DENIED.WAV	5	75820	112838
DIRECTX\D3D.INF	0	1097	58
DIRECTX\D3DHALF.DLL	1	107008	59
DIRECTX\D3DIM.DLL	2	68096	112
DIRECTX\D3DRAMPF.DLL	3	110080	146
DIRECTX\D3DRG16F.DLL	4	217088	200
DIRECTX\D3DRG24F.DLL	5	156672	306
DIRECTX\D3DRG32F.DLL	6	154624	383
DIRECTX\D3DRG8F.DLL	7	217088	459
DIRECTX\D3DRGBF.DLL	8	110080	565
DIRECTX\D3DRM.DLL	9	282112	619
DIRECTX\D3DRM16F.DLL	10	470528	757
DIRECTX\D3DRM24F.DLL	11	137216	987
DIRECTX\D3DRM32F.DLL	12	134656	1054
DIRECTX\D3DRM8F.DLL	13	469504	1120
DIRECTX\D3DXOF.DLL	14	72704	1350
DIRECTX\DDHELP.EXE	15	31744	1386
DIRECTX\DDRAW.DLL	16	159744	1402
DIRECTX\DDRAW.INF	17	820	1480
DIRECTX\DDRAW16.DLL	18	22992	1481
DIRECTX\DIRECTX.INF	19	2311	1493
DIRECTX\DPLAY.DLL	20	39936	1495
DIRECTX\DPLAY.INF	21	1549	1515
DIRECTX\DPSERIAL.DLL	22	41472	1516
DIRECTX\DPWSOCK.DLL	23	24064	1537
DIRECTX\DRIVERS	24	2048	1549
DIRECTX\DSOUND.DLL	25	86016	4247
DIRECTX\DSOUND.INF	26	435	4289
DIRECTX\DSOUND.VXD	27	17087	4290
DIRECTX\DXSETUP.EXE	28	29184	4299
DIRECTX\LICENSE.TXT	29	1151	4314
DLL\DWANGO.DLL	0	50070	4316
DLL\IPX.DLL	1	16764	4341
DLL\MODEM.DLL	2	20343	4350
DLL\SERIAL.DLL	3	17267	4360
DLL\WAT.DLL	4	61882	4369
DOS\CPU.EXE	0	5802	4401
DOS\DOS4GW.EXE	1	265420	4404
DOS\FIXBOOT.EXE	2	70425	4534
DOS\HELP.BAT	3	15	4569
DOS\HELP.TXT	4	55876	4570
DOS\INSTALL.EXE	5	276696	4598
DOS\INSTALL.PIF	6	967	5138
DOS\INWIN.EXE	7	5984	4734
DOS\IVE.EXE	8	211414	4737
DOS\MW2486.CFG	9	84	4841
DOS\MW2PRM.CFG	10	704	4842
DOS\PRODUCT.INI	11	204	4843
DOS\REGISTER.EXE	12	162516	4844
DOS\SETSOUND.BAT	13	40	4924
DOS\SETUP.CFG	14	266686	4925
DOS\SHELLMER.CFG	15	57380	5056
